"ROI.name"	"Stage"	"Ontogeny"	"Cell"	"ROI.id"	"point"	"x"	"y"
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	1	127.402052932463	-810.817038861569
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	2	109.020824661006	-804.09024523728
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	3	99.154686682634	-792.744186562153
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	4	103.101141873983	-773.998524403247
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	5	107.54090396425	-754.759555345423
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	6	110.99405225668	-705.428865453565
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	7	107.047597065331	-682.73674810331
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	8	104.581062570738	-643.272196189824
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	9	110.500745357761	-612.193861557954
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	10	121.35349713397	-586.541902814188
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	11	137.632624798283	-576.675764835816
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	12	151.445217968003	-576.675764835816
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	13	161.804662845293	-584.568675218514
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	14	166.24442493556	-591.474971803374
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	15	172.032834130313	-604.004260113913
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	16	174.992675523825	-633.340126864488
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	17	174.433437277941	-651.033832980251
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	18	169.204266329072	-679.28359981088
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	19	166.24442493556	-709.375320644914
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	20	163.284583542049	-738.973734580028
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	21	160.818049047456	-752.786327749748
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	22	161.311355946375	-770.545376110817
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	23	160.818049047456	-788.797731370805
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	24	155.88498005827	-802.610324540525
"zygote.zygote.zygote"	"zygote"	"zygote"	"zygote"	1	25	146.512148978817	-810.009928024303
