"ROI.name"	"Stage"	"Cell"	"ROI.id"	"point"	"x"	"y"
"Stage1.Pericycle"	"Stage1"	"Pericycle"	1	1	108.774171211546	-406.815400331183
"Stage1.Pericycle"	"Stage1"	"Pericycle"	1	2	107.686429499431	-191.442541332321
"Stage1.Pericycle"	"Stage1"	"Pericycle"	1	3	126.178038605394	-193.618024756552
"Stage1.Pericycle"	"Stage1"	"Pericycle"	1	4	135.967714014433	-407.359271187241
"Stage1.Pericycle"	"Stage1"	"Pericycle"	2	1	107.70192076535	-478.253684434043
"Stage1.Pericycle"	"Stage1"	"Pericycle"	2	2	108.832124868424	-407.334295895086
"Stage1.Pericycle"	"Stage1"	"Pericycle"	2	3	136.126476298762	-407.965725129306
"Stage1.Pericycle"	"Stage1"	"Pericycle"	2	4	141.162014906607	-478.753109690553
"Stage1.Pericycle"	"Stage1"	"Pericycle"	3	1	107.650051022425	-478.874646958202
"Stage1.Pericycle"	"Stage1"	"Pericycle"	3	2	141.109453262515	-479.485260206564
"Stage1.Pericycle"	"Stage1"	"Pericycle"	3	3	141.045675569672	-554.001588373131
"Stage1.Pericycle"	"Stage1"	"Pericycle"	3	4	138.810796907477	-566.417580940884
"Stage1.Pericycle"	"Stage1"	"Pericycle"	3	5	107.770815488095	-565.672621386819
"Stage1.Pericycle"	"Stage1"	"Pericycle"	4	1	112.466648236533	-615.213454087622
"Stage1.Pericycle"	"Stage1"	"Pericycle"	4	2	107.739311116131	-566.510887940228
"Stage1.Pericycle"	"Stage1"	"Pericycle"	4	3	138.741847580161	-567.2804544482
"Stage1.Pericycle"	"Stage1"	"Pericycle"	4	4	136.543086128811	-614.553825652217
"Stage1.Pericycle"	"Stage1"	"Pericycle"	5	1	108.444775539852	-838.290438193007
"Stage1.Pericycle"	"Stage1"	"Pericycle"	5	2	112.56801498357	-615.734875576625
"Stage1.Pericycle"	"Stage1"	"Pericycle"	5	3	136.553171032565	-615.0975888217
"Stage1.Pericycle"	"Stage1"	"Pericycle"	5	4	128.173989622596	-841.987350763449
"Stage2.Pericycle"	"Stage2"	"Pericycle"	6	1	348.972551836118	-198.538268839095
"Stage2.Pericycle"	"Stage2"	"Pericycle"	6	2	367.776837210746	-197.663650914693
"Stage2.Pericycle"	"Stage2"	"Pericycle"	6	3	377.834943341361	-332.792120234694
"Stage2.Pericycle"	"Stage2"	"Pericycle"	6	4	348.972551836118	-336.290591932299
"Stage2.Pericycle"	"Stage2"	"Pericycle"	7	1	344.558358089831	-378.351581671719
"Stage2.Pericycle"	"Stage2"	"Pericycle"	7	2	348.880473357832	-336.94082838793
"Stage2.Pericycle"	"Stage2"	"Pericycle"	7	3	378.223668622847	-333.702958565583
"Stage2.Pericycle"	"Stage2"	"Pericycle"	7	4	384.193491107798	-378.729585782589
"Stage2.Pericycle"	"Stage2"	"Pericycle"	8	1	347.501498020979	-702.061935351728
"Stage2.Pericycle"	"Stage2"	"Pericycle"	8	2	347.501498020979	-654.464516005848
"Stage2.Pericycle"	"Stage2"	"Pericycle"	8	3	369.407702281097	-653.215737329019
"Stage2.Pericycle"	"Stage2"	"Pericycle"	8	4	374.123783417827	-664.347031039527
"Stage2.Pericycle"	"Stage2"	"Pericycle"	8	5	377.955779043131	-673.01944219153
"Stage2.Pericycle"	"Stage2"	"Pericycle"	8	6	378.359147003689	-697.423203805308
"Stage2.Pericycle"	"Stage2"	"Pericycle"	9	1	347.410566783831	-840.18566594856
"Stage2.Pericycle"	"Stage2"	"Pericycle"	9	2	347.453457657317	-702.961213109652
"Stage2.Pericycle"	"Stage2"	"Pericycle"	9	3	378.551996365859	-698.039142234918
"Stage2.Pericycle"	"Stage2"	"Pericycle"	9	4	377.321478647176	-719.293539193994
"Stage2.Pericycle"	"Stage2"	"Pericycle"	9	5	373.153705062476	-770.082680081485
"Stage2.Pericycle"	"Stage2"	"Pericycle"	9	6	366.674187463881	-840.042064409181
"Stage3.Pericycle"	"Stage3"	"Pericycle"	10	1	594.612885522955	-336.879655279217
"Stage3.Pericycle"	"Stage3"	"Pericycle"	10	2	594.612885522955	-198.06900214007
"Stage3.Pericycle"	"Stage3"	"Pericycle"	10	3	613.689203352019	-200.0983976538
"Stage3.Pericycle"	"Stage3"	"Pericycle"	10	4	626.677334639893	-332.820864251757
"Stage3.Pericycle"	"Stage3"	"Pericycle"	10	5	608.006895913575	-336.067897073725
"Stage3.Pericycle"	"Stage3"	"Pericycle"	11	1	589.741805427159	-378.495358325039
"Stage3.Pericycle"	"Stage3"	"Pericycle"	11	2	594.70400525934	-337.548418883049
"Stage3.Pericycle"	"Stage3"	"Pericycle"	11	3	608.570794321596	-336.760391554582
"Stage3.Pericycle"	"Stage3"	"Pericycle"	11	4	607.078582810022	-379.223794349529
"Stage3.Pericycle"	"Stage3"	"Pericycle"	12	1	609.113662503029	-336.519861842014
