"ROI.name"	"Cell"	"Type"	"ROI.id"	"point"	"x"	"y"
"epidermis.adaxial"	"epidermis"	"adaxial"	1	1	283.490660829851	-166.213274355597
"epidermis.adaxial"	"epidermis"	"adaxial"	1	2	335.801437530598	-171.275607584702
"epidermis.adaxial"	"epidermis"	"adaxial"	1	3	343.394937374255	-216.836606646642
"epidermis.adaxial"	"epidermis"	"adaxial"	1	4	303.739993746269	-236.24221735821
"epidermis.adaxial"	"epidermis"	"adaxial"	1	5	253.960383660075	-236.24221735821
"epidermis.adaxial"	"epidermis"	"adaxial"	1	6	217.680328851493	-218.524051056344
"epidermis.adaxial"	"epidermis"	"adaxial"	1	7	215.149162236941	-186.462607272015
"epidermis.adaxial"	"epidermis"	"adaxial"	1	8	246.366883816419	-170.431885379851
"epidermis.adaxial"	"epidermis"	"adaxial"	2	1	338.723992862181	-171.250791930322
"epidermis.adaxial"	"epidermis"	"adaxial"	2	2	367.685523850397	-156.14042793647
"epidermis.adaxial"	"epidermis"	"adaxial"	2	3	409.868623333234	-156.14042793647
"epidermis.adaxial"	"epidermis"	"adaxial"	2	4	467.162086809923	-171.250791930322
"epidermis.adaxial"	"epidermis"	"adaxial"	2	5	481.642852304031	-210.915497414183
"epidermis.adaxial"	"epidermis"	"adaxial"	2	6	446.385336318376	-237.988232903168
"epidermis.adaxial"	"epidermis"	"adaxial"	2	7	409.868623333234	-254.357793896508
"epidermis.adaxial"	"epidermis"	"adaxial"	2	8	373.981508847836	-252.468998397276
"epidermis.adaxial"	"epidermis"	"adaxial"	2	9	346.908773358851	-217.841080911366
"epidermis.adaxial"	"epidermis"	"adaxial"	3	1	469.34627811396	-168.663977820732
"epidermis.adaxial"	"epidermis"	"adaxial"	3	2	506.461749556406	-145.173173110324
"epidermis.adaxial"	"epidermis"	"adaxial"	3	3	557.201887730888	-132.018322472495
"epidermis.adaxial"	"epidermis"	"adaxial"	3	4	622.506324825823	-147.522253581365
"epidermis.adaxial"	"epidermis"	"adaxial"	3	5	630.493198427362	-178.999931893312
"epidermis.adaxial"	"epidermis"	"adaxial"	3	6	643.648049065191	-202.020920509512
"epidermis.adaxial"	"epidermis"	"adaxial"	3	7	533.241266926271	-211.887058487884
"epidermis.adaxial"	"epidermis"	"adaxial"	3	8	484.85020922283	-211.417242393676
"epidermis.adaxial"	"epidermis"	"adaxial"	4	1	629.473577540589	-166.01905466129
