"ROI.name"	"Organ"	"Number"	"ROI.id"	"point"	"x"	"y"
"Cotyledon"	"Cotyledon"	NA	1	1	59.2020498216546	-537.222688918373
"Cotyledon"	"Cotyledon"	NA	1	2	57.9477691050941	-526.185018612641
"Cotyledon"	"Cotyledon"	NA	1	3	61.9614673980876	-522.673032606271
"Cotyledon"	"Cotyledon"	NA	1	4	65.473453404457	-518.408478169966
"Cotyledon"	"Cotyledon"	NA	1	5	66.2260218343933	-510.381081583979
"Cotyledon"	"Cotyledon"	NA	1	6	66.2260218343933	-507.119951720921
"Cotyledon"	"Cotyledon"	NA	1	7	61.2088989681514	-502.604541141304
"Cotyledon"	"Cotyledon"	NA	1	8	51.9272216656038	-502.10282885468
"Cotyledon"	"Cotyledon"	NA	1	9	43.1472566496805	-506.116527147673
"Cotyledon"	"Cotyledon"	NA	1	10	38.6318460700627	-510.381081583979
"Cotyledon"	"Cotyledon"	NA	1	11	39.1335583566869	-518.408478169966
"Cotyledon"	"Cotyledon"	NA	1	12	43.1630009373491	-523.403768648049
"Cotyledon"	"Cotyledon"	NA	1	13	47.3535835526258	-524.102199083929
"Cotyledon"	"Cotyledon"	NA	1	14	53.6394574755407	-530.388073006844
"Cotyledon"	"Cotyledon"	NA	1	15	56.5728653062343	-539.467668673276
"Cotyledon"	"Cotyledon"	NA	2	1	90.376898402799	-535.277086058
"Cotyledon"	"Cotyledon"	NA	2	2	87.0244323105777	-528.572153873557
"Cotyledon"	"Cotyledon"	NA	2	3	81.9957331722458	-524.38157125828
"Cotyledon"	"Cotyledon"	NA	2	4	76.8273479467379	-519.911616468652
"Cotyledon"	"Cotyledon"	NA	2	5	75.8495453365067	-515.441661679024
"Cotyledon"	"Cotyledon"	NA	2	6	75.4304870749791	-509.295473843285
"Cotyledon"	"Cotyledon"	NA	2	7	76.2686035980344	-504.266774704953
"Cotyledon"	"Cotyledon"	NA	2	8	79.4813836030798	-500.914308612731
"Cotyledon"	"Cotyledon"	NA	2	9	84.6497688285876	-497.841214694862
"Cotyledon"	"Cotyledon"	NA	2	10	90.376898402799	-498.679331217917
"Cotyledon"	"Cotyledon"	NA	2	11	95.8246558026586	-501.612739048611
"Cotyledon"	"Cotyledon"	NA	2	12	99.037435807704	-505.663635576712
"Cotyledon"	"Cotyledon"	NA	2	13	101.55178537687	-510.971706889395
"Cotyledon"	"Cotyledon"	NA	2	14	101.55178537687	-517.676639073838
"Cotyledon"	"Cotyledon"	NA	2	15	96.2437140641863	-523.124396473698
"Cotyledon"	"Cotyledon"	NA	2	16	93.3103062334926	-528.292781699205
"Cotyledon"	"Cotyledon"	NA	2	17	93.4499923206685	-534.019911273417
"Cotyledon"	"Cotyledon"	NA	2	18	94.2881088437238	-536.95331910411
"Cotyledon"	"Cotyledon"	NA	2	19	90.7959566643267	-536.95331910411
"Leaf 01"	"Leaf"	"01"	3	1	141.77663080769	-572.093676824512
"Leaf 01"	"Leaf"	"01"	3	2	142.753571675067	-554.401938122696
"Leaf 01"	"Leaf"	"01"	3	3	142.472006444939	-532.439850172686
"Leaf 01"	"Leaf"	"01"	3	4	138.81165845327	-520.614110507296
"Leaf 01"	"Leaf"	"01"	3	5	133.180353850704	-514.701240674601
"Leaf 01"	"Leaf"	"01"	3	6	123.60713602634	-511.322457913061
"Leaf 01"	"Leaf"	"01"	3	7	113.47078774172	-502.593935779082
"Leaf 01"	"Leaf"	"01"	3	8	110.655135440437	-493.583848414975
"Leaf 01"	"Leaf"	"01"	3	9	111.218265900693	-487.389413352152
"Leaf 01"	"Leaf"	"01"	3	10	111.499831130822	-478.942456448302
"Leaf 01"	"Leaf"	"01"	3	11	117.131135733388	-469.650803854067
"Leaf 01"	"Leaf"	"01"	3	12	123.888701256468	-460.64071648996
"Leaf 01"	"Leaf"	"01"	3	13	129.801571089164	-453.88315096688
"Leaf 01"	"Leaf"	"01"	3	14	137.1222670725	-449.941237745083
"Leaf 01"	"Leaf"	"01"	3	15	150.637398118661	-449.096542054698
"Leaf 01"	"Leaf"	"01"	3	16	162.744703014179	-449.941237745083
"Leaf 01"	"Leaf"	"01"	3	17	171.754790378286	-456.980368498292
"Leaf 01"	"Leaf"	"01"	3	18	176.541399290468	-467.961412473297
"Leaf 01"	"Leaf"	"01"	3	19	180.483312512264	-477.816195527789
"Leaf 01"	"Leaf"	"01"	3	20	180.201747282136	-489.923500423307
"Leaf 01"	"Leaf"	"01"	3	21	177.667660210981	-501.467674858569
"Leaf 01"	"Leaf"	"01"	3	22	167.249746696232	-509.351501302162
"Leaf 01"	"Leaf"	"01"	3	23	157.394963641741	-514.982805904729
"Leaf 01"	"Leaf"	"01"	3	24	150.355832888532	-516.953762515627
"Leaf 01"	"Leaf"	"01"	3	25	147.826852605049	-521.276305499218
"Leaf 01"	"Leaf"	"01"	3	26	147.976172658185	-527.84638783722
"Leaf 01"	"Leaf"	"01"	3	27	147.976172658185	-536.357630865996
"Leaf 01"	"Leaf"	"01"	3	28	148.274812764458	-546.660714532408
"Leaf 01"	"Leaf"	"01"	3	29	148.125492711322	-560.398159420958
"Leaf 01"	"Leaf"	"01"	3	30	148.872092977004	-567.117561812097
"Leaf 01"	"Leaf"	"01"	3	31	149.469373189549	-571.895803512462
"Leaf 02"	"Leaf"	"02"	4	1	204.47310409292	-520.742120883237
"Leaf 02"	"Leaf"	"02"	4	2	196.047904875145	-516.85356739811
"Leaf 02"	"Leaf"	"02"	4	3	189.242936276173	-508.104322056574
"Leaf 02"	"Leaf"	"02"	4	4	184.058198296004	-495.466523229912
"Leaf 02"	"Leaf"	"02"	4	5	188.594844028652	-474.403525185475
"Leaf 02"	"Leaf"	"02"	4	6	197.020043246427	-464.358095348897
"Leaf 02"	"Leaf"	"02"	4	7	208.037611454286	-455.608850007362
"Leaf 02"	"Leaf"	"02"	4	8	219.055179662146	-454.63671163608
"Leaf 02"	"Leaf"	"02"	4	9	236.553670345216	-460.793587987531
"Leaf 02"	"Leaf"	"02"	4	10	240.118177706583	-465.330233720179
"Leaf 02"	"Leaf"	"02"	4	11	247.247192429315	-476.671848051799
"Leaf 02"	"Leaf"	"02"	4	12	249.515515295639	-484.448955022053
"Leaf 02"	"Leaf"	"02"	4	13	250.487653666921	-497.086753848715
"Leaf 02"	"Leaf"	"02"	4	14	250.487653666921	-508.104322056574
"Leaf 02"	"Leaf"	"02"	4	15	249.515515295639	-515.233336779307
"Leaf 02"	"Leaf"	"02"	4	16	244.33077731547	-521.714259254518
"Leaf 02"	"Leaf"	"02"	4	17	239.470085459062	-524.306628244603
"Leaf 02"	"Leaf"	"02"	4	18	227.804425003681	-527.223043358448
"Leaf 02"	"Leaf"	"02"	4	19	220.027318033427	-527.871135605969
"Leaf 02"	"Leaf"	"02"	4	20	217.434949043343	-533.055873586138
"Leaf 02"	"Leaf"	"02"	4	21	218.731133538385	-544.721534041519
"Leaf 02"	"Leaf"	"02"	4	22	220.027318033427	-553.794825506815
"Leaf 02"	"Leaf"	"02"	4	23	221.971594775991	-562.54407084835
"Leaf 02"	"Leaf"	"02"	4	24	226.184194384878	-572.913546808689
"Leaf 02"	"Leaf"	"02"	4	25	227.804425003681	-576.154008046294
"Leaf 02"	"Leaf"	"02"	4	26	224.563963766075	-578.422330912618
"Leaf 02"	"Leaf"	"02"	4	27	219.320043540894	-570.667367978511
"Leaf 02"	"Leaf"	"02"	4	28	214.725687612254	-556.88430019259
"Leaf 02"	"Leaf"	"02"	4	29	212.549413751318	-544.310273440521
"Leaf 02"	"Leaf"	"02"	4	30	210.614948097154	-533.428904135846
"Leaf 02"	"Leaf"	"02"	4	31	208.438674236219	-525.449233312418
"Leaf 03"	"Leaf"	"03"	5	1	263.864638072837	-467.636815762648
"Leaf 03"	"Leaf"	"03"	5	2	266.575576135229	-455.437594481883
"Leaf 03"	"Leaf"	"03"	5	3	274.256567312007	-443.690196211517
"Leaf 03"	"Leaf"	"03"	5	4	284.648496551177	-435.557382024341
"Leaf 03"	"Leaf"	"03"	5	5	296.847717831942	-429.231859878759
"Leaf 03"	"Leaf"	"03"	5	6	311.3060541647	-428.78003686836
"Leaf 03"	"Leaf"	"03"	5	7	322.149806414269	-430.587328909955
"Leaf 03"	"Leaf"	"03"	5	8	331.186266622243	-437.364674065936
"Leaf 03"	"Leaf"	"03"	5	9	337.059965757426	-444.593842232315
"Leaf 03"	"Leaf"	"03"	5	10	345.628092640312	-459.141832891822
"Leaf 03"	"Leaf"	"03"	5	11	349.877359764051	-472.948975869342
"Leaf 03"	"Leaf"	"03"	5	12	349.063368070003	-487.264575554632
"Leaf 03"	"Leaf"	"03"	5	13	349.608396783804	-498.011570724146
"Leaf 03"	"Leaf"	"03"	5	14	339.362755568755	-509.888746703944
"Leaf 03"	"Leaf"	"03"	5	15	321.246160393471	-518.240992927302
"Leaf 03"	"Leaf"	"03"	5	16	312.661523195896	-521.855577010491
"Leaf 03"	"Leaf"	"03"	5	17	310.184703961079	-532.371356037548
"Leaf 03"	"Leaf"	"03"	5	18	307.487445665765	-543.497546505717
"Leaf 03"	"Leaf"	"03"	5	19	304.115872796623	-559.006781703771
"Leaf 03"	"Leaf"	"03"	5	20	300.069985353653	-569.795814885026
"Leaf 03"	"Leaf"	"03"	5	21	296.361255197596	-577.550432484053
"Leaf 03"	"Leaf"	"03"	5	22	290.629581320054	-585.30505008308
"Leaf 03"	"Leaf"	"03"	5	23	288.606637598569	-588.002308378393
"Leaf 03"	"Leaf"	"03"	5	24	282.874963721027	-586.653679230737
"Leaf 03"	"Leaf"	"03"	5	25	286.814832785328	-581.680608245332
"Leaf 03"	"Leaf"	"03"	5	26	292.601447832751	-572.120113819155
"Leaf 03"	"Leaf"	"03"	5	27	297.884878963007	-561.050067641475
"Leaf 03"	"Leaf"	"03"	5	28	300.400798548844	-552.244349091048
"Leaf 03"	"Leaf"	"03"	5	29	301.910350300345	-534.381320031611
"Leaf 03"	"Leaf"	"03"	5	30	300.903982466011	-527.588337149854
"Leaf 03"	"Leaf"	"03"	5	31	294.61418350142	-523.311273853932
"Leaf 03"	"Leaf"	"03"	5	32	285.55687299241	-519.788986433761
"Leaf 03"	"Leaf"	"03"	5	33	276.247970524816	-514.253963344922
"Leaf 03"	"Leaf"	"03"	5	34	271.467723311727	-508.970532214666
"Leaf 03"	"Leaf"	"03"	5	35	265.932700222888	-502.429141291491
"Leaf 03"	"Leaf"	"03"	5	36	262.410412802717	-495.38456645115
"Leaf 03"	"Leaf"	"03"	5	37	261.711862944657	-490.619122570074
"Leaf 03"	"Leaf"	"03"	5	38	260.443176628443	-486.088100012168
"Leaf 03"	"Leaf"	"03"	5	39	260.62441753076	-480.379011589206
"Leaf 03"	"Leaf"	"03"	5	40	263.886753772452	-474.941784519719
"Leaf 03"	"Leaf"	"03"	5	41	266.061644600247	-470.04828015718
"Leaf 04"	"Leaf"	"04"	6	1	356.742740811049	-444.706704298705
"Leaf 04"	"Leaf"	"04"	6	2	362.204555537407	-429.471115851497
"Leaf 04"	"Leaf"	"04"	6	3	370.541009593427	-419.40987819768
"Leaf 04"	"Leaf"	"04"	6	4	382.614494778007	-407.623856946066
"Leaf 04"	"Leaf"	"04"	6	5	390.088557035128	-401.874578286742
"Leaf 04"	"Leaf"	"04"	6	6	399.287402890046	-400.149794688945
