"ROI.name"	"ROI.id"	"point"	"x"	"y"
"Pavement-cell"	1	1	772.194040259917	-672.366014479963
"Pavement-cell"	1	2	772.106094847897	-673.509304836219
"Pavement-cell"	1	3	771.8235825556	-680.572112143646
"Pavement-cell"	1	4	768.715947340332	-692.72014071242
"Pavement-cell"	1	5	765.04328754047	-705.998218450382
"Pavement-cell"	1	6	758.545504817638	-712.778513465512
"Pavement-cell"	1	7	750.63516063332	-720.68885764983
"Pavement-cell"	1	8	742.724816449002	-730.576787880228
"Pavement-cell"	1	9	742.561757614604	-741.133754234576
"Pavement-cell"	1	10	746.131766064674	-751.843779584786
"Pavement-cell"	1	11	752.021785253024	-769.400864089932
"Pavement-cell"	1	12	754.940922300639	-780.277828428583
"Pavement-cell"	1	13	756.294807044003	-780.202612609507
"Pavement-cell"	1	14	766.16799560666	-776.837001637736
"Pavement-cell"	1	15	777.94835643264	-776.837001637736
"Pavement-cell"	1	16	788.395091504735	-779.059711227544
"Pavement-cell"	1	17	792.61823972537	-782.393775612255
"Pavement-cell"	1	18	796.396846028042	-786.616923832889
"Pavement-cell"	1	19	802.175890961542	-794.396407397216
"Pavement-cell"	1	20	807.288123018099	-794.396407397216
"Pavement-cell"	1	21	815.289877541407	-793.951865479254
"Pavement-cell"	1	22	820.846651515925	-790.395530135562
"Pavement-cell"	1	23	831.07111562904	-789.506446299639
"Pavement-cell"	1	24	843.518289331962	-793.729594520273
"Pavement-cell"	1	25	851.520043855269	-799.064097535811
"Pavement-cell"	1	26	858.188172624692	-786.616923832889
"Pavement-cell"	1	27	864.189488517173	-769.27978903239
"Pavement-cell"	1	28	860.855424132461	-754.38763478068
"Pavement-cell"	1	29	853.520482486096	-743.940899708584
"Pavement-cell"	1	30	849.075063306481	-731.271455046681
"Pavement-cell"	1	31	849.741876183424	-715.490216959048
"Pavement-cell"	1	32	850.186418101385	-701.042604625299
"Pavement-cell"	1	33	850.962680658424	-699.8021342464
"Pavement-cell"	1	34	848.293788954232	-699.8021342464
"Pavement-cell"	1	35	836.623713109985	-695.777970162176
"Pavement-cell"	1	36	826.160886491005	-685.315143543196
"Pavement-cell"	1	37	813.685977829914	-677.26681537475
"Pavement-cell"	1	38	801.613485577244	-675.657149741061
"Pavement-cell"	1	39	789.138576916153	-675.657149741061
"Pavement-cell"	1	40	774.249169804527	-674.047484107372
"Pavement-cell"	1	41	772.194040259917	-672.366014479963
"Pavement-cell"	1	42	772.194040259917	-672.366014479963
"Guard-cell"	2	1	873.670162892303	-214.963206959212
