"ROI.name"	"ROI.id"	"point"	"x"	"y"
"Trichoblast"	1	1	563.698504444055	-337.626930042686
"Trichoblast"	1	2	565.939131929512	-316.626739009022
"Trichoblast"	1	3	592.116933186163	-300.42143346919
"Trichoblast"	1	4	617.048172478212	-310.39392918601
"Trichoblast"	1	5	620.1358205653	-426.121899559871
"Trichoblast"	1	6	619.249912250207	-597.102204372875
"Trichoblast"	1	7	618.364003935114	-669.746686210524
"Trichoblast"	1	8	620.968075042276	-830.929865428633
"Trichoblast"	1	9	591.784196841856	-851.196447512259
"Trichoblast"	1	10	569.085624908196	-852.817774078949
"Trichoblast"	1	11	566.653635058161	-592.594860125201
"Trichoblast"	1	12	548.81904282457	-589.352206991821
"Trichoblast"	1	13	519.63516462415	-599.080166391961
"Trichoblast"	1	14	504.232562240595	-613.672105492171
"Trichoblast"	1	15	489.640623140385	-629.074707875726
"Trichoblast"	1	16	475.048684040175	-664.743892342907
"Trichoblast"	1	17	458.835418373275	-697.170423676707
"Trichoblast"	1	18	440.190162856339	-715.815679193642
"Trichoblast"	1	19	432.083530022889	-718.247669043677
"Trichoblast"	1	20	440.190162856339	-671.229198609667
"Trichoblast"	1	21	470.99536762345	-605.565472658721
"Trichoblast"	1	22	503.42189895725	-557.736338941366
"Trichoblast"	1	23	522.87781775753	-538.280420141085
"Trichoblast"	1	24	551.251032674606	-529.36312402429
"Trichoblast"	1	25	564.221645208126	-526.931134174255
"Cortex"	2	1	622.552960554739	-310.004525459699
"Cortex"	2	2	633.211560041526	-286.117816018764
"Cortex"	2	3	660.181682043295	-272.046448017841
"Cortex"	2	4	688.910725045179	-282.013667018495
"Cortex"	2	5	698.877944045833	-318.951008020917
"Cortex"	2	6	690.083339045256	-386.962620025377
"Cortex"	2	7	694.773795045563	-483.703275031721
"Cortex"	2	8	697.119023045717	-553.473808036297
"Cortex"	2	9	695.361064406558	-786.671103167015
"Cortex"	2	10	702.384913541978	-822.79375586346
"Cortex"	2	11	683.32018017441	-842.861896250374
"Cortex"	2	12	651.211155555348	-847.878931347102
"Cortex"	2	13	631.358875801984	-835.223414410674
"Cortex"	2	14	623.98636184335	-830.847295133236
"Cortex"	2	15	622.812107694675	-424.539823806682
"Endodermis"	3	1	692.228444091704	-387.128818574101
"Endodermis"	3	2	700.798658291637	-318.322241711785
"Endodermis"	3	3	702.512701131624	-300.202360260499
"Endodermis"	3	4	719.163403005778	-280.613299232081
"Endodermis"	3	5	736.058968142789	-287.714333854882
"Endodermis"	3	6	738.752464034196	-330.565404854546
"Endodermis"	3	7	736.058968142789	-375.620245219906
"Endodermis"	3	8	734.593641552758	-842.754668529851
"Endodermis"	3	9	717.317921966138	-842.754668529851
"Endodermis"	3	10	705.259000601486	-831.714251733925
"Endodermis"	3	11	703.540501741486	-822.510088938672
"Endodermis"	3	12	697.443963598146	-786.627607295011
"Endodermis"	3	13	698.933394687603	-552.858048295224
"Pericycle"	4	1	741.41989091238	-297.934628974929
"Pericycle"	4	2	748.936590267252	-289.734593315068
"Pericycle"	4	3	763.286652672007	-278.801212435254
"Pericycle"	4	4	776.270042466786	-297.934628974929
"Pericycle"	4	5	778.320051381751	-353.968205983975
"Pericycle"	4	6	776.953378771775	-456.46865173223
"Pericycle"	4	7	779.00338768674	-544.619035075729
"Pericycle"	4	8	771.526082400272	-811.759037617464
"Pericycle"	4	9	753.381808478793	-811.759037617464
"Pericycle"	4	10	736.815297507008	-820.831174578203
"Pericycle"	4	11	737.763505030229	-545.656183729197
"Pericycle"	4	12	737.639544534564	-376.369964592568
"Phloem"	5	1	778.282659140145	-297.134295450717
"Phloem"	5	2	813.923278672695	-296.359499373923
"Phloem"	5	3	805.082627699177	-778.432666820106
"Phloem"	5	4	787.823605415588	-786.554559659442
"Phloem"	5	5	774.371720400438	-785.285513903296
"Phloem"	5	6	780.814635583913	-542.264709660363
"Phloem"	5	7	779.263091350264	-455.960061663631
"Phloem"	5	8	780.063999154427	-351.082155570187
"Procambium"	6	1	815.298420090487	-294.593415211622
"Procambium"	6	2	818.540163311523	-271.901212664372
"Procambium"	6	3	863.924568406023	-272.711648469631
"Procambium"	6	4	857.441081963952	-331.468244350904
"Procambium"	6	5	855.009774548175	-382.120482179587
"Procambium"	6	6	839.053690712127	-793.47731036178
"Procambium"	6	7	829.340691621069	-788.620810816251
"Procambium"	6	8	817.759808089423	-785.63219571131
"Procambium"	6	9	807.102124049991	-778.959747356143
"Xylem"	7	1	841.265977493897	-793.051829605499
"Xylem"	7	2	863.245956678314	-792.697313812202
"Xylem"	7	3	883.098841102949	-787.734092706043
"Xylem"	7	4	895.396166179246	-249.961761596298
"Xylem"	7	5	884.177349722769	-262.361036015868
"Xylem"	7	6	867.226248757048	-271.840105129866
"Xylem"	7	7	859.357374513198	-333.628582738613
"Xylem"	8	1	898.521611846747	-248.661970735295
"Xylem"	8	2	938.814060808485	-271.686227284859
"Xylem"	8	3	934.209209498572	-379.900233067811
"Xylem"	8	4	930.179964602398	-591.723393323803
"Xylem"	8	5	930.215676423232	-786.246911733729
"Xylem"	8	6	919.826161889419	-789.032658551317
"Xylem"	8	7	897.654323842992	-790.456538058886
"Xylem"	8	8	884.635996916649	-787.608779043749
"Procambium"	9	1	940.317000528547	-270.381808802499
"Procambium"	9	2	956.260091540969	-263.223686307126
"Procambium"	9	3	969.274859714375	-258.668517446434
"Procambium"	9	4	968.298752101369	-334.479542056521
"Procambium"	9	5	966.263136507113	-436.810973332621
"Procambium"	9	6	961.010764570441	-807.249042239171
"Procambium"	9	7	951.69187230794	-814.820642202453
"Procambium"	9	8	931.306795483719	-811.326057604015
"Procambium"	9	9	922.570333987624	-802.58959610792
"Procambium"	9	10	922.003786001855	-789.488504695603
"Procambium"	9	11	931.529197343108	-787.247231438837
"Procambium"	9	12	931.809356500204	-636.801764078461
"Procambium"	9	13	935.758030932154	-416.874494693112
"Procambium"	9	14	936.02671240203	-378.783419053487
"Phloem"	10	1	962.467429321331	-807.037906573787
"Phloem"	10	2	965.461642084431	-581.868055413571
"Phloem"	10	3	967.828360844244	-439.736417039205
"Phloem"	10	4	971.550714977359	-289.165038054141
"Phloem"	10	5	972.09837603428	-257.94835780966
"Phloem"	10	6	977.027325546566	-243.1615092728
"Phloem"	10	7	1011.52997213257	-267.258595777312
"Phloem"	10	8	1016.45892164486	-352.693720656944
"Phloem"	10	9	1012.62529424641	-483.584713260997
"Phloem"	10	10	1002.38704960663	-806.585497642655
"Phloem"	10	11	1002.38704960663	-830.938924503846
"Phloem"	10	12	1003.69105298177	-841.776542652268
"Phloem"	10	13	975.959838505445	-824.332714191355
"Pericycle"	11	1	1013.52430317923	-265.269059575798
"Pericycle"	11	2	1024.92104796101	-253.479323594651
"Pericycle"	11	3	1044.96359912896	-261.732138781454
"Pericycle"	11	4	1052.82342311639	-298.673311522379
"Pericycle"	11	5	1052.43043191702	-362.337885820571
"Pericycle"	11	6	1051.2514583189	-396.921111365268
"Pericycle"	11	7	1043.41163478784	-808.222668649903
"Pericycle"	11	8	1024.93096403296	-811.296606614706
"Pericycle"	11	9	1003.93015111752	-806.165984225142
"Pericycle"	11	10	1008.63082741038	-688.649076903693
"Pericycle"	11	11	1010.30964037212	-623.175371396028
"Pericycle"	11	12	1013.02742140379	-543.489798505165
"Pericycle"	11	13	1016.11814390793	-441.209253163692
"Pericycle"	11	14	1018.00324454517	-353.479332268011
"Endodermis"	12	1	1052.95438524473	-292.444061878252
"Endodermis"	12	2	1055.87493180144	-276.089001160693
"Endodermis"	12	3	1077.87638252863	-276.673110472034
"Endodermis"	12	4	1086.83272530253	-282.124797377887
"Endodermis"	12	5	1091.1161935857	-298.479858095446
"Endodermis"	12	6	1092.22131911862	-815.938384968046
"Endodermis"	12	7	1083.82954775423	-841.759219935389
"Endodermis"	12	8	1066.40048415128	-850.150991299776
