ROI.name	ROI.id	point	x	y
Epidermis	1	1	155.7341376	-333.1799192
Epidermis	1	2	166.5899596	-332.3757842
Epidermis	1	3	177.4457816	-340.2831114
Epidermis	1	4	175.5694667	-379.551702
Epidermis	1	5	172.8890168	-383.9744443
Epidermis	1	6	165.3837572	-387.0569616
Epidermis	1	7	157.47643	-386.5208717
Epidermis	1	8	145.2803831	-381.0259494
Epidermis	1	9	141.7957983	-376.7372296
Epidermis	1	10	137.641101	-370.5721949
Epidermis	1	11	140.6663894	-361.2347622
Epidermis	2	1	351.0925061	-264.5217511
Epidermis	2	2	335.7021496	-232.4585086
Epidermis	2	3	352.0544033	-208.0904442
Epidermis	2	4	387.965235	-221.2363737
Epidermis	2	5	392.7747214	-225.7252276
Epidermis	2	6	394.3778835	-239.8330544
Epidermis	2	7	394.6985159	-247.5282326
Epidermis	2	8	391.1715593	-255.2234108
Epidermis	2	9	384.1176459	-262.2773242
Epidermis	2	10	368.406657	-261.9566917
Epidermis	3	1	184.9253496	-97.13250687
Epidermis	3	2	182.6423206	-83.849429
Epidermis	3	3	179.7366473	-61.6417832
Epidermis	3	4	182.6423206	-50.01909007
Epidermis	3	5	189.4914076	-43.58509924
Epidermis	3	6	199.453716	-42.33981069
Epidermis	3	7	209.8311206	-49.60399389
Epidermis	3	8	216.8877557	-53.96250381
Epidermis	3	9	216.6802076	-66.6229374
Epidermis	3	10	210.661313	-95.26457404
Epidermis	3	11	198.2084275	-94.84947786
Epidermis	4	1	98.93971166	-328.9943828
Epidermis	4	2	91.40164775	-326.4344562
Epidermis	4	3	86.2121769	-322.9190082
Epidermis	4	4	81.6923152	-316.3903191
Epidermis	4	5	81.19010835	-307.6854003
Epidermis	4	6	83.19893577	-298.4782746
Epidermis	4	7	86.2121769	-292.7865969
Epidermis	4	8	93.91268203	-286.4253101
Epidermis	4	9	104.9612329	-274.7071501
Epidermis	4	10	107.1374626	-270.8568975
Epidermis	4	11	111.8247265	-275.0419547
Epidermis	4	12	120.86445	-279.2270118
Epidermis	4	13	134.5914373	-281.7380461
Epidermis	4	14	137.2698739	-286.4253101
Epidermis	4	15	141.7897356	-297.6412632
Epidermis	4	16	141.3364211	-307.3017034
Epidermis	4	17	144.1176033	-312.7563612
Epidermis	4	18	132.3025398	-315.4447199
Epidermis	4	19	120.0315186	-319.0173828
Epidermis	4	20	104.3429966	-324.1629224
Epidermis	5	1	63.1196625	-216.9406888
Epidermis	5	2	58.34590652	-210.0452635
Epidermis	5	3	57.10826607	-198.7296937
Epidermis	5	4	62.23563362	-186.1764835
Epidermis	5	5	66.3021665	-183.1707853
Epidermis	5	6	86.28121933	-181.2259218
Epidermis	5	7	104.4922144	-181.4027275
Epidermis	5	8	109.6195819	-190.9502395
Epidermis	5	9	111.5644455	-201.3817804
Epidermis	5	10	114.2165321	-203.3266439
Epidermis	5	11	110.326805	-211.1060981
Epidermis	5	12	100.2488757	-225.7809776
Epidermis	5	13	97.59678908	-227.1954239
Epidermis	5	14	79.91621135	-221.537639
Epidermis	6	1	329.4222401	-298.4509184
Epidermis	6	2	345.3302371	-287.3293983
Epidermis	6	3	359.5488894	-291.6935391
Epidermis	6	4	370.388852	-300.1402632
Epidermis	6	5	373.7675416	-306.1937488
Epidermis	6	6	374.4714353	-319.0046137
Epidermis	6	7	373.3452054	-324.6357631
Epidermis	6	8	369.9665158	-328.5775677
Epidermis	6	9	362.927579	-332.9417085
Epidermis	6	10	352.3691739	-334.4902745
Epidermis	6	11	345.1894584	-328.8591251
Epidermis	6	12	335.7572832	-315.7667028
Epidermis	6	13	330.4076912	-305.3490764
Epidermis	7	1	250.5335624	-350.1151593
Epidermis	7	2	269.9004661	-345.5824797
Epidermis	7	3	286.1082295	-370.5808944
Epidermis	7	4	300.11833	-382.530686
Epidermis	7	5	289.6794315	-391.5960452
Epidermis	7	6	281.4381959	-398.0516798
Epidermis	7	7	270.4498818	-399.9746347
Epidermis	7	8	255.7530116	-392.008107
Epidermis	7	9	252.1818095	-389.2610285
Epidermis	8	1	80.41000802	-147.0122369
Epidermis	8	2	77.64845219	-140.6769029
Epidermis	8	3	76.83622988	-130.2804574
Epidermis	8	4	81.7095637	-116.7975672
Epidermis	8	5	87.23267536	-111.9242334
Epidermis	8	6	96.81689854	-109.8124554
Epidermis	8	7	107.3757885	-110.9495666
Epidermis	8	8	113.548678	-115.9853449
Epidermis	8	9	117.447345	-121.9957899
Epidermis	8	10	119.884012	-128.3311239
Epidermis	8	11	122.6455678	-134.1791245
Epidermis	8	12	124.4324568	-138.8900138
Epidermis	8	13	125.2446792	-142.6262364
Epidermis	8	14	120.8586787	-148.9615704
Epidermis	8	15	116.1477894	-154.6471265
Epidermis	8	16	112.5740112	-157.4086824
Epidermis	8	17	110.4622332	-158.8706825
Epidermis	8	18	109.325122	-157.0837934
Epidermis	8	19	100.5531211	-152.697793
Epidermis	8	20	88.69467551	-148.1493481
Epidermis	9	1	81.01996823	-299.5322216
Epidermis	9	2	72.87981443	-289.1026496
Epidermis	9	3	67.91940821	-280.9624958
Epidermis	9	4	64.10371112	-268.1163156
Epidermis	9	5	76.94989133	-262.0112002
Epidermis	9	6	87.25227347	-257.4323637
Epidermis	9	7	96.7915162	-253.107907
Epidermis	9	8	104.2957205	-262.9015295
Epidermis	9	9	106.3307589	-269.0066449
Epidermis	9	10	103.659771	-273.7126713
Epidermis	9	11	93.10300901	-284.2694333
Epidermis	9	12	84.45409561	-291.5192577
Epidermis	10	1	232.8149059	-348.3295583
Epidermis	10	2	249.5720849	-350.664575
Epidermis	10	3	251.6323938	-390.085152
Epidermis	10	4	249.5720849	-394.3431237
Epidermis	10	5	244.9020514	-399.2878651
Epidermis	10	6	237.5586297	-408.3398739
Epidermis	10	7	231.0344024	-408.3398739
Epidermis	10	8	224.510175	-406.0372055
Epidermis	10	9	220.6723943	-401.8156466
Epidermis	10	10	216.0670574	-395.6751974
Epidermis	10	11	212.9968327	-390.3023043
Epidermis	10	12	212.6130547	-385.6969674
Epidermis	11	1	288.9457136	-101.6018376
Epidermis	11	2	305.7967501	-117.1312241
Epidermis	11	3	313.3962371	-111.6794182
Epidermis	11	4	328.2647987	-105.2363748
Epidermis	11	5	339.6640293	-99.78456892
Epidermis	11	6	344.1245978	-91.68946316
