"ROI.name"	"Level1"	"Level2"	"ROI.id"	"point"	"x"	"y"
"Meristem.QC"	"Meristem"	"QC"	1	1	120.838400805629	-323.193345393956
"Meristem.QC"	"Meristem"	"QC"	1	2	127.302267713508	-315.293063617659
"Meristem.QC"	"Meristem"	"QC"	1	3	133.766134621387	-314.57485618345
"Meristem.QC"	"Meristem"	"QC"	1	4	149.378378421534	-318.224282658363
"Meristem.QC"	"Meristem"	"QC"	1	5	149.207594456876	-329.477660443283
"Meristem.QC"	"Meristem"	"QC"	1	6	133.766134621387	-326.963934423552
"Meristem.QC"	"Meristem"	"QC"	2	1	150.200358777998	-329.667480533729
"Meristem.QC"	"Meristem"	"QC"	2	2	150.259844068603	-318.24630473754
"Meristem.QC"	"Meristem"	"QC"	2	3	155.910946676092	-316.759172472412
"Meristem.QC"	"Meristem"	"QC"	2	4	163.881975617182	-316.16431956636
"Meristem.QC"	"Meristem"	"QC"	2	5	168.521828284383	-314.08233439518
"Meristem.QC"	"Meristem"	"QC"	2	6	178.515357106048	-323.421525020188
"Meristem.QC"	"Meristem"	"QC"	2	7	167.570063634701	-327.526010071943
"Meristem.Cortex-Endodermis Initial"	"Meristem"	"Cortex-Endodermis Initial"	3	1	168.979756371893	-313.827400496791
"Meristem.Cortex-Endodermis Initial"	"Meristem"	"Cortex-Endodermis Initial"	3	2	178.984413385453	-322.952527223445
"Meristem.Cortex-Endodermis Initial"	"Meristem"	"Cortex-Endodermis Initial"	3	3	187.065097896406	-314.596989497834
"Meristem.Cortex-Endodermis Initial"	"Meristem"	"Cortex-Endodermis Initial"	3	4	183.21715289119	-309.814543562781
"Meristem.Cortex-Endodermis Initial"	"Meristem"	"Cortex-Endodermis Initial"	3	5	176.125939953007	-307.505776559652
"Meristem.Cortex-Endodermis Initial"	"Meristem"	"Cortex-Endodermis Initial"	4	1	104.621963302184	-310.604806737705
"Meristem.Cortex-Endodermis Initial"	"Meristem"	"Cortex-Endodermis Initial"	4	2	112.801401414209	-303.387655462388
"Meristem.Cortex-Endodermis Initial"	"Meristem"	"Cortex-Endodermis Initial"	4	3	122.905413199653	-303.975719640377
"Meristem.Cortex-Endodermis Initial"	"Meristem"	"Cortex-Endodermis Initial"	4	4	127.128783205209	-314.721255983626
"Meristem.Cortex-Endodermis Initial"	"Meristem"	"Cortex-Endodermis Initial"	4	5	118.949345093183	-323.061075235103
"Meristem.Cortex-Endodermis Initial"	"Meristem"	"Cortex-Endodermis Initial"	4	6	109.754159764631	-316.485448517592
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	5	1	110.983720374242	-268.544914372989
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	5	2	117.152182857135	-266.287817983355
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	5	3	128.724625057162	-299.16254633538
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	5	4	132.952718632741	-313.952683245662
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	5	5	127.672864528655	-314.31650782835
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	5	6	123.72986089466	-303.735018398378
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	5	7	112.769858646348	-277.58734436024
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	6	1	129.482988103699	-299.09239707458
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	6	2	137.396226424801	-298.742253786036
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	6	3	139.917258102321	-315.269017005329
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	6	4	133.544650250813	-313.868443851151
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	7	1	137.79453950628	-294.050054489948
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	7	2	146.004138628167	-293.899144240013
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	7	3	146.853747503769	-317.082139938934
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	7	4	140.628977929647	-315.430670460085
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	7	5	138.024737597617	-298.725421500963
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	8	1	147.404920061859	-304.689861472523
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	8	2	147.598539163263	-316.872388273578
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	8	3	149.821647875781	-317.666355670906
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	8	4	155.935196835206	-315.840230657052
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	8	5	157.126147931198	-304.804083834193
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	9	1	156.67660872067	-315.786548201314
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	9	2	157.840718588793	-304.804083834193
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	9	3	159.428653383449	-300.993040327019
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	9	4	168.003501274591	-304.486496875262
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	9	5	163.71607732902	-315.52264369812
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	9	6	159.298955019598	-315.580014158407
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	10	1	164.696326717393	-315.064676293621
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	10	2	168.693078235718	-304.582629858768
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	10	3	177.365274926423	-283.769357801076
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	10	4	182.456942052665	-270.965298117203
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	10	5	187.37407294514	-268.663662380301
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	10	6	187.879080473537	-278.645808123225
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	10	7	176.014660951405	-306.585468433501
"Meristem.Stele Initial"	"Meristem"	"Stele Initial"	10	8	168.543136235441	-313.409751944749
"Meristem.Columella Initial"	"Meristem"	"Columella Initial"	11	1	112.577322556061	-339.599103749601
"Meristem.Columella Initial"	"Meristem"	"Columella Initial"	11	2	113.346143295469	-333.558369368544
"Meristem.Columella Initial"	"Meristem"	"Columella Initial"	11	3	119.716372279129	-324.222688961456
