"ROI.name"	"Zone"	"Layer"	"ROI.id"	"point"	"x"	"y"
"CZ.L1"	"CZ"	"L1"	1	1	756.569896808629	-253.944330580983
"CZ.L1"	"CZ"	"L1"	1	2	756.569896808629	-196.050286303454
"CZ.L1"	"CZ"	"L1"	1	3	796.481700060563	-174.99790656617
"CZ.L1"	"CZ"	"L1"	1	4	839.025050779657	-178.945227766911
"CZ.L1"	"CZ"	"L1"	1	5	841.218007002291	-247.804053157609
"CZ.L1"	"CZ"	"L1"	1	6	811.832393618999	-268.856432894893
"CZ.L1"	"CZ"	"L1"	1	7	774.113546589699	-267.540659161312
"CZ.L1"	"CZ"	"L1"	2	1	840.889541987642	-178.517376348961
"CZ.L1"	"CZ"	"L1"	2	2	885.586200319358	-161.554186741142
"CZ.L1"	"CZ"	"L1"	2	3	932.436914474289	-173.401493768825
"CZ.L1"	"CZ"	"L1"	2	4	934.860227275406	-235.599855664165
"CZ.L1"	"CZ"	"L1"	2	5	901.47236201557	-263.602581365963
"CZ.L1"	"CZ"	"L1"	2	6	843.043597810857	-247.716419669751
"CZ.L1"	"CZ"	"L1"	3	1	934.193495711078	-173.350206725415
"CZ.L1"	"CZ"	"L1"	3	2	980.095399562926	-170.785854554921
"CZ.L1"	"CZ"	"L1"	3	3	1023.94582167838	-187.454143663134
"CZ.L1"	"CZ"	"L1"	3	4	1013.94484821345	-221.816462747758
"CZ.L1"	"CZ"	"L1"	3	5	993.686466066546	-242.587715328762
"CZ.L1"	"CZ"	"L1"	3	6	964.70928653996	-231.817436212686
"CZ.L1"	"CZ"	"L1"	3	7	936.244977447473	-234.910643252414
"CZ.L1"	"CZ"	"L1"	4	1	660.870652866156	-252.621730432677
"CZ.L1"	"CZ"	"L1"	4	2	637.766335846429	-229.953343922756
"CZ.L1"	"CZ"	"L1"	4	3	691.385788552588	-193.771111608843
"CZ.L1"	"CZ"	"L1"	4	4	755.03164298429	-196.168729412777
"CZ.L1"	"CZ"	"L1"	4	5	754.846399049242	-253.577581621919
"CZ.L1"	"CZ"	"L1"	4	6	741.059957531618	-268.603253837756
"CZ.L1"	"CZ"	"L1"	4	7	694.124094836785	-284.403445239977
"CZ.L1"	"CZ"	"L1"	4	8	659.580539124087	-280.221041633507
"CZ.L1"	"CZ"	"L1"	5	1	994.925229029698	-243.299921174192
"CZ.L1"	"CZ"	"L1"	5	2	1014.94937531246	-222.359637479802
"CZ.L1"	"CZ"	"L1"	5	3	1024.95610077336	-187.411976736764
"CZ.L1"	"CZ"	"L1"	5	4	1057.7531967023	-184.600797085713
"CZ.L1"	"CZ"	"L1"	5	5	1080.80486984092	-197.907047434023
"CZ.L1"	"CZ"	"L1"	5	6	1074.0580386784	-253.568404524842
"CZ.L1"	"CZ"	"L1"	5	7	1048.00777391199	-264.063475222101
"CZ.L1"	"CZ"	"L1"	5	8	1018.95891751779	-258.253703943261
"CZ.L1"	"CZ"	"L1"	6	1	1081.61392651677	-197.886937874067
"CZ.L1"	"CZ"	"L1"	6	2	1110.52770162169	-202.13116174268
"CZ.L1"	"CZ"	"L1"	6	3	1136.12567682926	-224.943865036473
"CZ.L1"	"CZ"	"L1"	6	4	1111.19086160116	-266.988207734917
"CZ.L1"	"CZ"	"L1"	6	5	1075.0452818564	-253.727696836386
"CZ.L2"	"CZ"	"L2"	7	1	736.5388652002	-384.532042871615
"CZ.L2"	"CZ"	"L2"	7	2	710.833448964581	-369.056333097109
"CZ.L2"	"CZ"	"L2"	7	3	709.784248301902	-345.711618352516
"CZ.L2"	"CZ"	"L2"	7	4	694.833138858736	-286.169480745519
"CZ.L2"	"CZ"	"L2"	7	5	741.466418068371	-270.048734814452
