ROI.name	ROI.id	point	x	y
C1	1	1	269.8289454	-308.3759376
C1	1	2	233.6911402	-286.6932545
C1	1	3	240.6228235	-257.049666
C1	1	4	271.2848104	-238.3146938
C1	1	5	284.6380531	-243.1295502
C1	1	6	307.3899283	-270.3397247
C1	1	7	297.8125716	-288.9907488
C1	1	8	284.427737	-302.0713827
C1	2	1	285.0361385	-241.8396266
C1	2	2	308.4595992	-269.5218983
C1	2	3	317.5856229	-270.7387015
C1	2	4	338.8796781	-281.0815283
C1	2	5	344.3552922	-266.4798905
C1	2	6	351.9603119	-247.6194416
C1	2	7	363.8241427	-236.0598116
C1	2	8	355.3065206	-220.8497722
C1	2	9	345.2678946	-211.7237486
C1	2	10	334.620867	-201.3809218
C1	2	11	308.4595992	-202.9019257
C1	2	12	297.8125716	-210.8111462
C1	2	13	284.7319378	-214.1573549
C1	2	14	277.7353196	-224.5001817
C1	2	15	272.2597054	-237.2766148
C1	3	1	364.5648061	-235.3969929
C1	3	2	356.2234849	-220.3090147
C1	3	3	335.2475152	-200.4370435
C1	3	4	345.4659185	-179.88053
C1	3	5	350.5287811	-152.4815089
C1	3	6	363.6326608	-153.6727707
C1	3	7	370.4824161	-148.9077235
C1	3	8	380.3103258	-145.3339381
C1	3	9	394.3076518	-148.0142772
C1	3	10	413.070025	-160.2247105
C1	3	11	425.5782738	-168.2657276
C1	3	12	431.2367673	-179.5827145
C1	3	13	427.067351	-196.8560105
C1	3	14	419.0263339	-216.51183
C1	3	15	412.1765786	-228.1266324
C1	3	16	403.5399307	-222.1703235
C1	3	17	392.2229437	-226.0419243
C1	3	18	378.5234331	-230.2113405
C1	4	1	432.1328935	-178.6903764
C1	4	2	426.6232736	-167.2244106
C1	4	3	395.0546404	-146.5261086
C1	4	4	400.8620777	-130.4439748
C1	4	5	420.6669277	-117.3400138
C1	4	6	427.5167255	-108.8522209
C1	4	7	440.6206864	-101.4067886
C1	4	8	461.3189883	-94.55699083
C1	4	9	469.9556899	-97.83298106
C1	4	10	470.7002331	-107.5120431
C1	4	11	457.1495462	-112.8727544
C1	4	12	455.8093684	-127.3168932
C1	4	13	469.9556899	-136.6981379
C1	4	14	474.8696752	-140.86758
C1	4	15	472.7849542	-152.4824545
C1	4	16	462.0635316	-155.1628102
C1	4	17	439.5783259	-168.5645884
C1	5	1	475.5444697	-140.5534473
C1	5	2	470.360796	-136.1872301
C1	5	3	456.4972343	-127.0380006
C1	5	4	457.962408	-113.4492033
C1	5	5	471.7604983	-108.0680348
C1	5	6	471.2092176	-97.50216839
C1	5	7	488.6373033	-95.44715325
C1	5	8	505.902488	-84.69713257
C1	5	9	527.7282876	-93.81836224
C1	5	10	550.8571199	-128.3487317
C1	5	11	540.4328575	-142.0305762
C1	5	12	523.1676727	-164.8336503
C1	5	13	518.9328161	-171.6745726
C1	5	14	511.7661357	-157.6669699
C1	5	15	495.1524674	-147.2427074
C1	5	16	485.3797213	-144.9624
C1	5	17	473.4074295	-152.2420859
C1	6	1	528.7420385	-93.62792775
C1	6	2	541.6408979	-89.84722758
C1	6	3	547.6455394	-90.18081877
C1	6	4	555.9853192	-93.29433656
C1	6	5	566.9938285	-85.95533035
C1	6	6	578.0023378	-77.28195937
C1	6	7	587.5652853	-74.05724452
C1	6	8	599.12978	-76.28118579
C1	6	9	601.5761154	-86.51131566
C1	6	10	593.6811238	-97.07503673
C1	6	11	588.677256	-101.4117222
C1	6	12	591.5683796	-111.530655
C1	6	13	591.3459855	-120.0928289
C1	6	14	584.5629646	-122.4279673
C1	6	15	568.7729815	-124.5407115
C1	6	16	556.6525016	-126.8758498
C1	6	17	551.5374366	-127.7654263
C1	7	1	592.1084052	-119.8732714
C1	7	2	592.2751955	-111.532342
C1	7	3	589.5374057	-101.6893358
C1	7	4	594.1003887	-97.58265107
C1	7	5	602.3488966	-86.86355246
C1	7	6	599.7043388	-76.08189372
C1	7	7	609.7740012	-69.06364417
C1	7	8	618.7248122	-75.36989739
C1	7	9	627.3704819	-76.48874877
C1	7	10	636.0161517	-68.65678912
C1	7	11	644.7635352	-73.33562216
C1	7	12	654.9349113	-84.72756347
C1	7	13	663.9874361	-87.98240384
C1	7	14	669.0731242	-101.6120479
C1	7	15	667.7508453	-114.1228406
C1	7	16	663.6822949	-120.0222388
C1	7	17	655.0366251	-122.3616553
C1	7	18	643.7307153	-129.5186199
