"ROI.name"	"ROI.id"	"point"	"x"	"y"
"Exodermis"	1	1	615.260046105842	-370.251910697282
"Exodermis"	1	2	600.778734588084	-348.725636819533
"Exodermis"	1	3	598.43041380142	-326.807976144006
"Exodermis"	1	4	617.216980094728	-311.935277828471
"Exodermis"	1	5	636.394933185814	-306.847249457367
"Exodermis"	1	6	650.876244703572	-309.978343839585
"Exodermis"	1	7	671.228358187989	-326.807976144006
"Exodermis"	1	8	683.752735716861	-342.854834852874
"Exodermis"	1	9	675.924999761316	-353.813665190637
"Exodermis"	1	10	668.488650603549	-365.163882326177
"Exodermis"	1	11	662.226461839113	-379.645193843936
"Exodermis"	1	12	657.529820265785	-383.167675023931
"Exodermis"	1	13	643.831282343582	-369.469137101727
"Exodermis"	2	1	651.822210210572	-309.334026714021
"Exodermis"	2	2	642.389096755908	-292.893490269127
"Exodermis"	2	3	638.795311599231	-274.475341341161
"Exodermis"	2	4	655.865791093444	-249.76806838901
"Exodermis"	2	5	679.225394611841	-235.842150906889
"Exodermis"	2	6	694.9482046723	-238.088266629812
"Exodermis"	2	7	710.221791588175	-240.783605497319
"Exodermis"	2	8	721.452370202789	-253.361853545687
"Exodermis"	2	9	736.276733974079	-281.662911654513
"Exodermis"	2	10	740.31974227534	-289.748928257035
"Exodermis"	2	11	733.581395106572	-301.428730016234
"Exodermis"	2	12	726.843047937803	-318.049986365862
"Exodermis"	2	13	725.046155359465	-331.975903847983
"Exodermis"	2	14	718.757031335281	-335.120465860075
"Exodermis"	2	15	700.788105551899	-336.468135293829
"Exodermis"	2	16	690.455973226455	-337.815804727582
"Exodermis"	2	17	681.103473146316	-337.368526172013
"Exodermis"	2	18	672.050633404782	-326.209924478403
"Exodermis"	3	1	711.405651899339	-239.952338284885
"Exodermis"	3	2	720.0296316299	-223.577665699741
"Exodermis"	3	3	738.204653451817	-214.365668337948
"Exodermis"	3	4	764.346808127176	-223.328692798071
"Exodermis"	3	5	772.064968078949	-255.446197113512
"Exodermis"	3	6	776.048534505671	-268.392788000357
"Exodermis"	3	7	782.023884145753	-277.853758263821
"Exodermis"	3	8	773.06085968563	-277.60478536215
"Exodermis"	3	9	762.603997815486	-280.094514378851
"Exodermis"	3	10	753.889946257033	-287.563701428954
"Exodermis"	3	11	741.441301173528	-289.306511740645
"Exodermis"	3	12	722.638201937034	-252.552357561631
"Exodermis"	4	1	765.799333243488	-221.869606895518
"Exodermis"	4	2	788.63095138649	-189.099519678504
"Exodermis"	4	3	795.346133193255	-186.682054228069
"Exodermis"	4	4	831.070900405245	-190.979770584398
"Exodermis"	4	5	834.831402217033	-186.144839683528
"Exodermis"	4	6	835.100009489304	-200.112417841599
"Exodermis"	4	7	839.934940390175	-219.183534172812
"Exodermis"	4	8	842.889620385151	-235.299970509048
"Exodermis"	4	9	840.740762206986	-247.118690488954
"Exodermis"	4	10	831.070900405245	-261.623483191567
"Exodermis"	4	11	824.892933143021	-264.578163186544
"Exodermis"	4	12	820.595216786691	-269.681701359685
"Exodermis"	4	13	813.342820435385	-284.186494062298
"Exodermis"	4	14	809.313711351326	-290.901675869063
"Exodermis"	4	15	800.986885910937	-286.872566785004
"Exodermis"	4	16	790.242595020113	-281.231814067321
"Exodermis"	4	17	784.60184230243	-278.277134072344
"Exodermis"	4	18	783.035670809902	-277.830538400215
"Exodermis"	4	19	777.408956718795	-267.960728437126
"Exodermis"	5	1	835.990002042441	-182.445616797941
"Exodermis"	5	2	840.196241046428	-174.033138789967
"Exodermis"	5	3	852.814958058389	-166.409330595241
"Exodermis"	5	4	872.531703389579	-158.785522400514
"Exodermis"	5	5	881.732851210801	-161.414421778006
"Exodermis"	5	6	892.248448720768	-159.048412338263
"Exodermis"	5	7	904.86716573273	-160.625751964758
"Exodermis"	5	8	914.331203491701	-170.615569599228
"Exodermis"	5	9	918.01166262019	-190.069424992668
"Exodermis"	5	10	920.640561997682	-211.626399888102
"Exodermis"	5	11	920.640561997682	-225.29667665106
"Exodermis"	5	12	916.434322993694	-235.28649428553
"Exodermis"	5	13	908.284734923469	-253.425899990224
"Exodermis"	5	14	902.501156292987	-261.575488060449
"Exodermis"	5	15	894.614458160511	-259.735258496205
"Exodermis"	5	16	878.57817195781	-256.580579243215
"Exodermis"	5	17	866.748124759097	-254.74034967897
"Exodermis"	5	18	851.237618431894	-249.482550923986
"Exodermis"	5	19	848.082939178904	-247.905211297491
"Exodermis"	5	20	842.352359317309	-245.930083057884
"Exodermis"	5	21	844.304185373324	-235.195039749801
"Exodermis"	5	22	836.77571344298	-199.365090007241
"Exodermis"	6	1	915.869005078052	-170.174496596128
"Exodermis"	6	2	930.190909639942	-156.119869935559
