ggPlantmap.name,Species,Tissue,Type,Description,Layers,Image.Reference,Made by,Contact Info
ggPm.At.roottip.crosssection,Arabidopsis thaliana,root,cross-section,Cross-section of Arabidopsis thaliana root tips,Cells,https://www.future-science.com/doi/10.2144/000114621,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.roottip.longitudinal,Arabidopsis thaliana,root,longitudinal,Longitudinal view of Arabidopsis thaliana root tips,Cells,https://doi.org/10.1186/s13007-019-0417-9,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.3weekrosette.topview,Arabidopsis thaliana,rosette,top view,Top view of 3.5 weel old Arabidopsis thaliana rosettes.,Leaves,https://doi.org/10.1186/s12870-015-0483-8,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.leafepidermis.topview,Arabidopsis thaliana,leaf epidermis,top view,Top view of Arabidopsis thaliana leaf adaxial epidermis,Cells,https://www.nature.com/articles/s41477-021-00906-0,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.leaf.crosssection,Arabidopsis thaliana,leaves,cross-section,Cross-section of Arabidopsis thaliana leaves,Cells,https://doi.org/10.1199/tab.0181,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.seed.devseries,Arabidopsis thaliana,seed,development series,Diagram of the development of Arabidopsis thaliana seed tissues,"Cells,Tissues and Stage",https://doi.org/10.1073/pnas.1222061110,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.earlyembryogenesis.devseries,Arabidopsis thaliana,embryo,development series,Diagram of the development of Arabidopsis thaliana embryos,"Cells, Ontogeny and Stage",https://doi.org/10.1111/nph.12267,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.shootapex.longitudinal,Arabidopsis thaliana,shoot apical meristem,longitudinal,Diagram of the Arabidopsis thaliana shoot apical meristem,Layers and Zone,https://doi.org/10.1007/s10265-020-01174-3,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.inflorescencestem.crosssection,Arabidopsis thaliana,inflorescence stem,cross-section,Cross-section of Arabidopsis thaliana inflorescence stem,Cells,https://academic.oup.com/plcell/article/33/2/200/6017181,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.Sl.root.crosssection,Solanum lycopersicum,root,cross-section,Cross-section of Solanum lycopersicum (Tomato) root,Cells,https://doi.org/10.1016/j.cell.2021.04.024,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.leaf.topview,Arabidopsis thaliana,leaf,top view,Top view of Arabidopsis thaliana leaves from left to right in order of emergence from the SAM.,Leaves,http://doi.org/10.1199/tab.0181,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.rootelong.longitudinal,Arabidopsis thaliana,root elongation zone,longitudinal,Longitudinal view of Arabidopsis thaliana root at the elongation zone,Cells,https://doi.org/10.1016/j.devcel.2022.01.008,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.rootmatur.crosssection,Arabidopsis thaliana,root maturation zone,cross-section,Cross-section of Arabidopsis thaliana root at the maturation zone,Cells,https://doi.org/10.1016/j.devcel.2022.01.008,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.flower.diagram,Arabidopsis thaliana,flower,diagram,Diagram of the ABC model for Arabidopsis thaliana flowers,Tissues and ABC.model,"Taiz, Lincoln, et al. Plant physiology and development. No. Ed. 6. Sinauer Associates Incorporated, 2015.",Leonardo Jo,jo.leonardo85@gmail.com
ggPm.At.lateralroot.devseries,Arabidopsis thaliana,lateral root,development series,Diagram of the development of Arabidopsis thaliana lateral root,"Cells,Stage",https://doi.org/10.3389/fpls.2019.00206,Leonardo Jo,jo.leonardo85@gmail.com
ggPm.Ms.root.crosssection,Medicago sativa,root,cross-section,Cross-section of Medicago sativa (Alfalfa) root,Cells,Unpublished,Leonardo Jo,jo.leonardo85@gmail.com
