"ROI.name"	"ROI.id"	"point"	"x"	"y"
"1"	"C1"	1	1	269.828945402877	-308.375937603288
"2"	"C1"	1	2	233.691140214992	-286.693254490557
"3"	"C1"	1	3	240.622823466148	-257.049666028945
"4"	"C1"	1	4	271.284810417238	-238.314693792527
"5"	"C1"	1	5	284.638053110598	-243.129550197254
"6"	"C1"	1	6	307.389928250718	-270.33972474743
"7"	"C1"	1	7	297.812571647736	-288.990748789938
"8"	"C1"	1	8	284.427736966939	-302.071382682535
"9"	"C1"	2	1	285.036138543339	-241.839626618948
"10"	"C1"	2	2	308.459599234734	-269.521898345142
"11"	"C1"	2	3	317.585622880732	-270.738701497942
"12"	"C1"	2	4	338.879678054727	-281.08152829674
"13"	"C1"	2	5	344.355292242326	-266.479890463143
"14"	"C1"	2	6	351.960311947324	-247.619441594747
"15"	"C1"	2	7	363.824142687122	-236.059811643149
"16"	"C1"	2	8	355.306520617524	-220.849772233153
"17"	"C1"	2	9	345.267894606926	-211.723748587154
"18"	"C1"	2	10	334.620867019928	-201.380921788357
"19"	"C1"	2	11	308.459599234734	-202.901925729356
"20"	"C1"	2	12	297.812571647736	-210.811146222555
"21"	"C1"	2	13	284.731937755139	-214.157354892754
"22"	"C1"	2	14	277.73531962654	-224.500181691552
"23"	"C1"	2	15	272.259705438941	-237.276614795949
"24"	"C1"	3	1	364.564806128448	-235.396992920758
"25"	"C1"	3	2	356.223484857676	-220.309014739803
"26"	"C1"	3	3	335.24751519147	-200.437043477081
"27"	"C1"	3	4	345.465918516639	-179.88052998625
"28"	"C1"	3	5	350.52878111559	-152.481508862517
"29"	"C1"	3	6	363.632660783462	-153.672770650505
"30"	"C1"	3	7	370.482416064396	-148.907723498551
"31"	"C1"	3	8	380.3103258153	-145.333938134586
"32"	"C1"	3	9	394.307651824164	-148.01427715756
"33"	"C1"	3	10	413.070024984981	-160.224710484441
"34"	"C1"	3	11	425.57827375886	-168.265727553363
"35"	"C1"	3	12	431.236767251805	-179.582714539253
"36"	"C1"	3	13	427.067350993845	-196.856010465085
"37"	"C1"	3	14	419.026333924924	-216.511829966894
"38"	"C1"	3	15	412.17657864399	-228.126632399781
"39"	"C1"	3	16	403.539930681074	-222.170323459839
"40"	"C1"	3	17	392.222943695184	-226.041924270801
"41"	"C1"	3	18	378.523433133318	-230.21134052876
"42"	"C1"	4	1	432.132893531601	-178.690376374198
"43"	"C1"	4	2	426.623273593397	-167.224410556853
"44"	"C1"	4	3	395.054640433955	-146.526108626842
"45"	"C1"	4	4	400.862077666116	-130.443974753164
"46"	"C1"	4	5	420.666927714257	-117.340013819056
"47"	"C1"	4	6	427.516725475268	-108.852220941282
"48"	"C1"	4	7	440.620686409375	-101.406788592357
"49"	"C1"	4	8	461.318988339387	-94.5569908313462
"50"	"C1"	4	9	469.955689864139	-97.8329810648731
"51"	"C1"	4	10	470.700233099032	-107.512043118476
"52"	"C1"	4	11	457.149546223989	-112.872754409701
"53"	"C1"	4	12	455.809368401182	-127.316893166616
"54"	"C1"	4	13	469.955689864139	-136.698137926261
"55"	"C1"	4	14	474.86967521443	-140.867580041659
"56"	"C1"	4	15	472.784954156731	-152.482454505982
"57"	"C1"	4	16	462.063531574279	-155.162810151595
"58"	"C1"	4	17	439.578325880526	-168.56458837966
"59"	"C1"	5	1	475.544469693871	-140.553447281315
"60"	"C1"	5	2	470.360796033976	-136.187230112006
"61"	"C1"	5	3	456.497234262358	-127.038000588441
"62"	"C1"	5	4	457.962407992195	-113.449203295829
"63"	"C1"	5	5	471.760498294234	-108.068034773532
"64"	"C1"	5	6	471.209217584498	-97.502168390526
"65"	"C1"	5	7	488.637303314674	-95.4471532474662
"66"	"C1"	5	8	505.902488031792	-84.6971325745434
"67"	"C1"	5	9	527.728287579847	-93.8183622364173
"68"	"C1"	5	10	550.857119936742	-128.348731670654
"69"	"C1"	5	11	540.432857466029	-142.030576163465
"70"	"C1"	5	12	523.16767274891	-164.83365031815
"71"	"C1"	5	13	518.932816120183	-171.674572564555
"72"	"C1"	5	14	511.766135671568	-157.666969869535
"73"	"C1"	5	15	495.152467358869	-147.242707398822
"74"	"C1"	5	16	485.379721292576	-144.962399983353
"75"	"C1"	5	17	473.407429526672	-152.242085945018
"76"	"C1"	6	1	528.742038543589	-93.6279277505157
"77"	"C1"	6	2	541.640897948649	-89.8472275800673
"78"	"C1"	6	3	547.645539395831	-90.1808187715775
"79"	"C1"	6	4	555.985319183585	-93.2943365590056
"80"	"C1"	6	5	566.99382850342	-85.9553303457822
"81"	"C1"	6	6	578.002337823255	-77.2819593665183
"82"	"C1"	6	7	587.565285313213	-74.0572445152535
